3605100026089270737,Perejil,Szmftyfqooncyojrz,50,Hwirdzmgjxuuskh41,41,true,41,41,41,
3559078268938476303,Fresa,Hmbjkexscssobwmdh,37,Wbadnrabksmwkuhwmupu82,82,true,82,82,82,
7322601760266739372,Tomate,Tfngsvysefdoeo,100,Ybzuxgzsljucw96,96,false,96,96,96,
7683935351250385175,Banano,Lvxoxloxydsuuqebmgae,80,Hdodwugghuefi81,81,false,81,81,81,
3734085288964876095,Tomate,Inlxtvhnnjteqkq,8,Uprsanlgnhhxkejp41,41,false,41,41,41,
7195793422158083492,Tomate,Fcinuqczxveg,30,Icdldkoorfryx23,23,true,23,23,23,
5207853533619247187,Fresa,Btqoecxbpppuwqv,8,Olfniuqtqzge13,13,true,13,13,13,
593259697094995647,Banano,Ekahqfeqkotebdou,20,Xcbaraznmqejnck11,11,true,11,11,11,
3849833840104841287,Perejil,Jsxvwsubidqxzpybser,94,Hqcrjfcdhev61,61,true,61,61,61,
848780032740516477,Fresa,Fgerplaacsyeib,66,Xetkgikknylfmv58,58,true,58,58,58,
1417522234008066210,Tomate,Ymhewmbtvkyloojxid,21,Iarfrifnpbqnc12,12,true,12,12,12,
5427117067656933138,cebolla,Wfklhfhumwfrur,56,Xdwjkzbfefm70,70,false,70,70,70,
3916497549742575423,Tomate,Qturtlfdlhcdlazoszqf,94,Sgmsufsbsxelelkpgg45,45,true,45,45,45,
4669358623942705384,Fresa,Msiqcfptxmdxrfz,16,Vcsjogetvdzmuq24,24,false,24,24,24,
5343402419308497768,Perejil,Gbmefrgalwilgn,55,Cntreqzeutxiilybck7,7,true,7,7,7,
4591936266225496998,manzana,Pwkvqorlwcbcfknz,58,Cmecgqlusqewgxbcl74,74,true,74,74,74,
4253365309469939876,Banano,Lskredusoknms,92,Uxlpsqkiusgjgsgjq7,7,true,7,7,7,
2772740249604219667,cebolla,Tarylpusotj,74,Rilxiyxkftlox31,31,false,31,31,31,
8236601637902187095,cebolla,Ocaniqhkefpjbmzzszjk,50,Qhbfeotwauzfmptbzitul41,41,false,41,41,41,
179868662508253863,Fresa,Dmbczfmteolrwhulyz,44,Euqtwfocgcctwwenhxnm100,100,true,100,100,100,
1503827456524376954,Banano,Ubdvhckifvilsbw,28,Gnyjqpjrjfkfq33,33,false,33,33,33,
7127440825286818141,cebolla,Ccesbiivthwaljc,63,Vapojjmejglhjognaigih50,50,false,50,50,50,
5575142900867613994,Fresa,Uamdjubyqmr,7,Mkeggnbjrkfvksl92,92,true,92,92,92,
6025704930277801719,Tomate,Tkdhlrlsqkf,39,Orptpflvwead87,87,true,87,87,87,
439374728695177250,Fresa,Wwqyakkwkok,9,Zvbvgtfciswede29,29,false,29,29,29,
2457837108697184477,Tomate,Qnmmrqhtjjdmwzethszo,22,Zgfgvdjnmclvdmfr34,34,true,34,34,34,
2892280456139977177,Banano,Rnjfffafgmnqaqxumnc,69,Rjorunsuimcydrcocrg33,33,false,33,33,33,
5913784731519353876,Perejil,Svyzbehduekatildj,90,Pgrrkylzytuhfqdus7,7,false,7,7,7,
4040425046030544949,Fresa,Jwrqxpfdiyv,36,Otgzyklawvxbndgjmg52,52,false,52,52,52,
7408781511796593813,manzana,Qsetbufsxdlgwaudhic,55,Gcvoeweiwwjidjotchs1,1,true,1,1,1,
6592000473214015624,manzana,Vtzueadpqwjeqzhp,45,Rffsgstviylgrjrf78,78,true,78,78,78,
5466005922076364930,Fresa,Ngpkaufdozaqypjih,30,Gxtkgsutuhcgspoxcydk66,66,false,66,66,66,
4288617088707513305,cebolla,Virccilsfafzolfc,86,Wgwywgwwabsyr46,46,false,46,46,46,
3695150843291333904,Banano,Tdcahbttfunhq,64,Keviakzczxhtbmbet16,16,false,16,16,16,
7361485756983390263,Banano,Wxjmvkibqxdopmyzykkgq,7,Hhsjrigtokkgrixtlyyqr32,32,false,32,32,32,
679054582959536601,manzana,Rhkmucbakozyh,32,Tpjaxillkxltdamd54,54,false,54,54,54,
7189317568041089772,Fresa,Zsfutwfvafax,20,Yykxlfizradui90,90,false,90,90,90,
3537677021612475729,Perejil,Nvansddkyaulxkuiecr,60,Ggaeliyubynhgnm57,57,false,57,57,57,
5384780927372248489,manzana,Qtiqqhrutprdbp,61,Miucuajgirwyebgzq44,44,false,44,44,44,
1699827628367319151,Tomate,Qefugxagbbhxsoaeoztf,21,Nvmvjaajcowm72,72,false,72,72,72,
6578746003965035110,Fresa,Tsxdysbzgazpaqypcsi,71,Wrmvkhfcakx18,18,true,18,18,18,
5132578555084079986,manzana,Aksabeowuuohrqtffwxrw,11,Qmjgnbecjkkipzo43,43,true,43,43,43,
1839366681502912838,Banano,Edvhlcfphguxpvkosl,6,Kphnuxgenbhaiwal20,20,false,20,20,20,
4703265162915442205,Tomate,Vxiuobyvjlzcam,85,Wkajiemqiwym62,62,true,62,62,62,
948960642247628317,Banano,Fuimfneubeb,45,Jqmsetrqitdixqjav100,100,false,100,100,100,
3576402021777816595,cebolla,Pygblpcnbirbk,98,Utsqmllzowjmmxgh39,39,true,39,39,39,
4270881386563118941,Tomate,Jkojmsjuuriykati,29,Gvqaxoxiepnct77,77,false,77,77,77,
5473761597568797650,manzana,Vqjgybweaqyndgmzwe,68,Fpjkrzxlgvtqpsp62,62,false,62,62,62,
3972423150921762091,Banano,Xmcynckdnosxnkciyu,11,Yyeekkhpehdzlogkmeuiy60,60,false,60,60,60,
5394014642697324581,Tomate,Wdtzmealdqkzrsmkzt,4,Byjinhcplzmbrlxncf75,75,true,75,75,75,
5398123813377878897,Fresa,Ukcnfpqmxxipqvnju,33,Msplgkjrfqwra97,97,false,97,97,97,
8275439013894724538,cebolla,Wqeyvbwicvmwrj,27,Vlzigxgzwhlaclu43,43,true,43,43,43,
5945227185894827167,cebolla,Bvfrxqczypcubissr,22,Fjzpthejtviukbozdmw55,55,false,55,55,55,
8347713812461880031,Perejil,Qpsssjlipamfuqod,9,Yddebhdqbyphz99,99,false,99,99,99,
